Player,Predicted_FP
Saquon Barkley,347.3
Derrick Henry,332.4
Jahmyr Gibbs,362.9
Bijan Robinson,337.7
Ja'Marr Chase,403.0
Josh Jacobs,291.1
Jonathan Taylor,238.7
Aaron Jones,237.6
Justin Jefferson,314.6
Bucky Irving,242.4
James Conner,243.8
De'Von Achane,297.9
Alvin Kamara,263.3
Kyren Williams,268.1
Chuba Hubbard,237.6
Breece Hall,228.9
Chase Brown,251.0
D'Andre Swift,208.5
Brian Thomas,280.0
Rico Dowdle,195.8
Najee Harris,204.6
Joe Mixon,240.5
Tony Pollard,198.7
Amon-Ra St. Brown,311.9
Drake London,280.8
James Cook,264.7
CeeDee Lamb,261.4
Jerry Jeudy,236.9
Brock Bowers,262.7
Malik Nabers,269.6
Jaxon Smith-Njigba,249.6
Ladd McConkey,234.9
Trey McBride,243.8
Tyrone Tracy Jr.,176.3
David Montgomery,215.6
Zay Flowers,209.5
Garrett Wilson,249.9
George Kittle,236.6
Terry McLaurin,267.8
Courtland Sutton,235.1
A.J. Brown,216.9
Calvin Ridley,199.2
Davante Adams,239.3
Davante Adams,44.9
Davante Adams,194.4
Jameson Williams,212.2
J.K. Dobbins,191.8
Jakobi Meyers,216.0
D.J. Moore,236.1
Puka Nacua,206.6
Jayden Reed,193.0
Tyreek Hill,218.2
Nico Collins,210.6
Rachaad White,199.6
Mike Evans,240.4
D.K. Metcalf,191.2
Darnell Mooney,193.2
Jauan Jennings,208.5
Rhamondre Stevenson,163.9
Brian Robinson Jr.,159.8
Lamar Jackson,95.5
Tee Higgins,222.1
Zach Charbonnet,186.9
Kareem Hunt,155.4
Jordan Addison,212.5
George Pickens,164.4
Jayden Daniels,115.1
Marvin Harrison Jr.,196.5
Jonnu Smith,220.3
Jordan Mason,111.0
Kenneth Walker III,179.2
Javonte Williams,157.9
DeVonta Smith,199.4
Khalil Shakir,180.5
Travis Kelce,193.4
Alec Pierce,161.4
Jaylen Warren,122.1
Tank Bigsby,123.0
Josh Downs,183.5
Travis Etienne,130.2
Michael Pittman Jr.,165.8
Deebo Samuel,151.6
Jerome Ford,134.0
Ray-Ray McCloud,136.5
Rashod Bateman,174.6
Jaylen Waddle,145.6
Rome Odunze,142.9
Keenan Allen,184.4
Antonio Gibson,99.4
Xavier Worthy,187.2
Austin Ekeler,126.3
Tyler Allgeier,104.2
Sam LaPorta,174.6
Cooper Kupp,173.0
Quentin Johnston,174.7
Wan'Dale Robinson,182.7
Alexander Mattison,135.4
Tucker Kraft,161.3
Tank Dell,140.0
Mark Andrews,188.8
Hunter Henry,145.4
Mike Gesicki,141.5
Zach Ertz,171.4
Pat Freiermuth,166.3
Christian Watson,103.3
Demario Douglas,145.7
Ray Davis,116.1
Jalen Hurts,129.0
Adam Thielen,139.5
Justice Hill,127.1
Jalen Tolbert,152.0
DeAndre Hopkins,145.0
DeAndre Hopkins,36.3
DeAndre Hopkins,108.7
Kyle Pitts,131.2
Romeo Doubs,130.1
Tyler Lockett,121.0
Cade Otton,138.6
Darius Slayton,108.0
Kayshon Boutte,119.9
Josh Palmer,103.4
Tre Tucker,129.3
Chris Godwin,135.8
Ameer Abdullah,123.2
Isaac Guerendo,90.2
Jaleel McLaughlin,97.2
Kyler Murray,71.2
Tutu Atwell,98.9
Keon Coleman,109.5
Devin Singletary,96.6
Michael Wilson,124.5
Emanuel Wilson,96.0
Calvin Austin III,112.8
Juwan Johnson,118.8
Amari Cooper,122.7
Amari Cooper,61.0
Amari Cooper,61.7
Marvin Mims,127.5
Elijah Moore,120.9
Josh Allen,121.8
Tyjae Spears,111.6
Dalton Schultz,118.2
Allen Lazard,126.0
Xavier Legette,125.1
Olamide Zaccheaus,108.4
KaVontae Turpin,88.2
Cam Akers,93.2
Cam Akers,30.3
Cam Akers,62.9
David Njoku,144.5
Demarcus Robinson,123.5
Stefon Diggs,121.4
Jalen McMillan,135.4
Noah Fant,104.0
Anthony Richardson,68.8
Ty Johnson,91.7
Nick Westbrook-Ikhine,135.7
Dallas Goedert,99.6
Chigoziem Okonkwo,109.6
Jake Ferguson,100.4
Caleb Williams,28.9
Braelon Allen,85.2
Will Dissly,110.1
Andrei Iosivas,119.9
Jalen Coker,91.8
Isaiah Likely,123.7
Austin Hooper,106.6
Devaughn Vele,106.5
Cole Kmet,118.4
Taysom Hill,103.5
T.J. Hockenson,86.5
Noah Brown,86.3
Tyler Conklin,119.9
Dalton Kincaid,98.8
Ricky Pearsall,93.5
Raheem Mostert,70.9
Noah Gray,113.3
Bo Nix,68.2
Zack Moss,79.9
Drake Maye,36.1
Sean Tucker,66.7
Dontayvion Wicks,110.5
Marquez Valdes-Scantling,84.5
Marquez Valdes-Scantling,4.6
Marquez Valdes-Scantling,79.9
Samaje Perine,81.4
Foster Moreau,103.3
Brenton Strange,91.1
Jalen Nailor,103.0
Chris Olave,76.7
Kenneth Gainwell,62.6
Sterling Shepard,78.3
Tim Patrick,90.4
Tyler Boyd,78.3
Jordan Akins,89.0
Parker Washington,85.0
Isiah Pacheco,56.9
Diontae Johnson,89.1
Diontae Johnson,84.3
Diontae Johnson,1.6
Diontae Johnson,3.2
Christian Kirk,70.9
Mack Hollins,98.8
Baker Mayfield,29.8
Rashid Shaheed,73.8
Brandon Aiyuk,62.4
Greg Dortch,86.3
Gus Edwards,64.1
Evan Engram,87.5
Nick Chubb,63.3
Miles Sanders,75.3
David Moore,85.1
Trey Benson,45.0
Christian McCaffrey,47.8
Ja'Tavion Sanders,71.2
Audric Estime,46.7
Dyami Brown,67.4
Cedric Tillman,78.4
Theo Johnson,68.1
Emari Demercado,54.7
Brock Purdy,48.3
Adonai Mitchell,50.8
Kendrick Bourne,65.1
Dawson Knox,59.1
Dare Ogunbowale,56.0
Patrick Mahomes,39.9
Justin Herbert,30.6
Jordan Whittington,52.5
Grant Calcaterra,59.8
Mike Williams,56.8
Mike Williams,28.6
Mike Williams,28.2
Ezekiel Elliott,57.5
Dameon Pierce,41.5
Colby Parkinson,65.4
Lil'Jordan Humphrey,62.3
Tyler Johnson,61.1
Justin Fields,46.9
Rashee Rice,64.9
Justin Watson,62.9
Jeremy McNichols,61.8
D'Onta Foreman,30.6
Van Jefferson,63.6
Geno Smith,21.2
Troy Franklin,67.1
Curtis Samuel,63.7
Blake Corum,33.5
Daniel Jones,30.5
Josh Oliver,65.8
Trey Sermon,53.8
Jaylen Wright,26.7
Brandin Cooks,69.6
Roschon Johnson,77.4
John Metchie,53.4
Chris Brooks,42.2
Isaiah Davis,45.9
Bryce Young,50.9
Malik Washington,54.8
Josh Whyle,58.8
AJ Barner,78.5
Luke Schoonmaker,57.1
Gabriel Davis,53.9
D'Ernest Johnson,35.9
Tommy Tremble,56.4
C.J. Stroud,11.3
Nelson Agholor,49.1
JuJu Smith-Schuster,53.1
Jahan Dotson,41.9
Kyle Juszczyk,57.6
Ty Chandler,28.4
Jamaal Williams,37.1
Kimani Vidal,30.7
Cordarrelle Patterson,37.5
Kalif Raymond,50.5
Tyler Goodson,44.4
Zamir White,29.3
Sam Darnold,11.2
Sincere McCormick,27.2
Pierre Strong,35.2
Cedrick Wilson Jr.,45.1
Carson Steele,21.9
Stone Smartt,34.8
Patrick Taylor,29.8
Robert Woods,34.3
Joe Burrow,10.1
Darnell Washington,45.0
Kenny McIntosh,22.4
Josh Reynolds,38.4
Josh Reynolds,36.3
Josh Reynolds,2.1
Tylan Wallace,34.3
DJ Turner,45.1
Michael Carter,35.8
Adam Trautman,43.8
Chris Rodriguez,31.5
Will Levis,-1.7
Kylen Granson,32.2
Kendre Miller,29.1
Craig Reynolds,18.9
Jalen Brooks,35.7
Elijah Higgins,49.2
Trey Palmer,33.2
Jonathan Mingo,32.2
Jonathan Mingo,22.6
Jonathan Mingo,9.6
Luke McCaffrey,34.8
Kevin Austin,25.0
Erick All,35.8
Michael Mayer,36.6
Tanner Hudson,38.5
Russell Wilson,17.5
Khalil Herbert,29.5
Khalil Herbert,10.0
Khalil Herbert,19.5
Mecole Hardman,33.2
Lucas Krull,34.2
Derius Davis,34.1
Hunter Luepke,26.9
Deshaun Watson,10.8
Mo Alie-Cox,32.7
Spencer Rattler,4.6
Bo Melton,22.5
Johnny Mundt,45.2
Jordan Mims,26.1
Hassan Haskins,32.8
Malik Willis,17.8
Tyler Huntley,13.5
Nick Vannett,48.5
Charlie Kolar,28.3
Drew Lock,15.3
Ronnie Rivers,18.3
Cade Stover,34.3
KhaDarel Hodge,26.1
Jamycal Hasty,28.8
Ryan Miller,36.8
Daniel Bellinger,26.5
Rakim Jarrett,21.4
Dorian Thompson-Robinson,6.2
Dante Pettis,30.0
Bub Means,26.8
Xavier Hutchinson,23.7
Will Shipley,15.7
Nate Adkins,43.5
Payne Durham,32.5
Trevor Lawrence,23.4
Julius Chestnut,13.3
Eric Gray,15.3
Alec Ingold,24.3
Ashton Dulin,19.2
Andrew Ogletree,25.9
Jake Bobo,29.7
Jermaine Burton,14.7
Aaron Rodgers,0.7
Simi Fehoko,16.6
Mason Rudolph,6.6
Jeremy Ruckert,28.5
Drew Sample,34.5
Ryan Flournoy,18.2
Julian Hill,20.0
Brock Wright,35.0
Mason Tipton,23.9
Malik Heath,31.7
Jalen Reagor,14.7
Eric Saubert,24.7
Bryce Oliver,15.5
Mac Jones,11.2
Marcus Mariota,15.2
Marquise Brown,18.1
Devin Culp,13.8
Brevyn Spann-Ford,17.8
Deuce Vaughn,11.8
Jacob Cowing,8.7
Ja'Lynn Polk,32.7
Harrison Bryant,17.6
Tyler Badie,9.4
John Bates,14.4
Zay Jones,16.4
Jordan Love,6.3
Trent Sherfield,22.3
Jameis Winston,4.3
Devin Duvernay,17.2
Raheem Blackshear,4.0
Chris Conley,13.6
Jeff Wilson,10.6
Michael Burton,29.3
Hayden Hurst,15.3
DeAndre Carter,14.2
Jamison Crowder,24.2
Derek Carr,7.1
Brandon Powell,12.1
Clyde Edwards-Helaire,10.0
Scott Miller,11.9
Tyrell Shavers,13.9
Ben Skowronek,11.9
Luke Farrell,18.7
River Cracraft,13.6
Tyler Higbee,26.6
Pharaoh Brown,12.5
Michael Woods II,13.5
Jared Goff,1.3
Jacoby Brissett,-1.8
Jalin Hyatt,14.2
DeeJay Dallas,13.0
Hunter Long,13.0
Gardner Minshew II,-6.2
Keaton Mitchell,6.8
K.J. Osborn,18.7
Odell Beckham Jr.,14.5
Tony Jones,11.5
Dak Prescott,3.4
Durham Smythe,14.3
Peyton Hendershot,10.1
Sione Vaki,8.1
Blake Whiteheart,17.1
Mike Boone,5.9
Tay Martin,11.9
Tua Tagovailoa,-9.1
Nikko Remigio,4.8
Ainias Smith,17.7
Tyquan Thornton,8.7
Kenny Yeboah,15.7
Charlie Woerner,11.6
Jonathon Brooks,7.5
C.J. Ham,13.5
Luke Musgrave,11.5
D'Wayne Eskridge,7.4
Xavier Gipson,8.4
J.J. Taylor,6.4
Cody White,6.4
Malachi Corley,5.2
Ben Sims,8.2
Xavier Smith,6.2
Tim Jones,7.1
