Player,Predicted_FP
Jared Goff,337.2887
Joe Burrow,337.28452
Sam Darnold,336.61575
Baker Mayfield,335.4734
Josh Allen,334.35785
Lamar Jackson,334.33093
Jordan Love,323.92792
Jayden Daniels,303.9057
Bo Nix,303.32065
Aaron Rodgers,299.05112
Patrick Mahomes,296.5338
Justin Herbert,292.03033
Brock Purdy,275.88702
Matthew Stafford,271.396
Caleb Williams,270.93304
Kyler Murray,270.63843
Geno Smith,269.16028
Kirk Cousins,267.04843
C.J. Stroud,266.75775
Russell Wilson,256.1713
Jalen Hurts,255.93729
Tua Tagovailoa,250.0981
Derek Carr,244.03856
Bryce Young,237.21446
Drake Maye,232.61699
Jameis Winston,182.5434
Will Levis,179.41476
Trevor Lawrence,178.2637
Cooper Rush,168.39856
Dak Prescott,157.30556
Joe Flacco,152.00764
Daniel Jones,135.87517
Gardner Minshew II,129.88182
Mason Rudolph,103.81308
Anthony Richardson,103.020424
Mac Jones,100.1739
Aidan O'Connell,99.34549
Spencer Rattler,71.2113
Deshaun Watson,67.4405
Drew Lock,49.23777
Andy Dalton,38.771084
Tanner McKee,30.572224
Marcus Mariota,30.49317
Tyrod Taylor,30.040005
Justin Fields,28.911802
Joe Milton,28.642462
Jimmy Garoppolo,27.528864
Joshua Dobbs,27.025162
Tim Boyle,26.13445
Bailey Zappe,25.645302
Tyler Huntley,24.843517
Michael Penix,24.24888
Malik Willis,11.151124
Mitchell Trubisky,11.053546
Jacoby Brissett,10.651286
Dorian Thompson-Robinson,10.586292
Cedrick Wilson Jr.,10.135009
Amon-Ra St. Brown,10.105815
Courtland Sutton,10.105815
David Montgomery,9.788831
Kyle Allen,9.490999
Nick Mullens,9.490999
Stefon Diggs,9.420045
Jalen Coker,8.93444
Chris Oladokun,8.6924715
Jack Fox,8.552339
AJ Cole III,8.552339
Jaxon Smith-Njigba,8.523145
Adonai Mitchell,8.523145
Justin Jefferson,8.523145
Kenny Pickett,8.269123
Trey Lance,8.143414
Carson Wentz,8.056236
Hendon Hooker,8.056236
Brandon Allen,8.031014
Ty Chandler,7.7992277
Tim Boyle,7.7868185
Desmond Ridder,7.7810125
Penei Sewell,7.770034
Jakobi Meyers,7.770034
Deebo Samuel,7.770034
Saquon Barkley,7.770034
Tyson Bagent,7.6938357
Clayton Tune,7.6938357
Skylar Thompson,7.6938357
Josh Johnson,7.6938357
Taylor Heinicke,7.6938357
Kyle Trask,7.6938357
Tommy DeVito,7.6938357
Davis Mills,7.466294
Tim Boyle,7.344886
Jake Haener,7.3031254
Mike White,7.2577085
Sam Howell,7.2324867
Taysom Hill,7.161532
JK Scott,6.8005915
Riley Dixon,6.8005915
Ricky Pearsall,6.701148
Keenan Allen,6.3668165
Miles Killebrew,6.364462
Bryan Anger,6.364462
Dyami Brown,6.364462
Johnny Hekker,6.364462
Allen Lazard,6.3352675
Joe Mixon,6.3352675
Darnell Mooney,6.3352675
D.J. Moore,6.3352675
Malik Nabers,6.3352675
Tyler Boyd,6.3352675
Kendrick Bourne,6.3352675
Tutu Atwell,6.3352675
