"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","1","2","1.1","0.3","-"
"2",1,"Saquon Barkley",PHI,"RB1","1","3","2.0","0.5","-"
"3",1,"Bijan Robinson",ATL,"RB2","2","3","2.9","0.3","-"
"4",1,"Justin Jefferson",MIN,"WR2","3","5","4.0","0.5","-"
"5",2,"Jahmyr Gibbs",DET,"RB3","4","7","5.1","0.9","-"
"6",2,"CeeDee Lamb",DAL,"WR3","6","7","6.1","0.3","-"
"7",2,"Puka Nacua",LAR,"WR4","5","7","6.7","0.7","-"
"8",2,"Amon-Ra St. Brown",DET,"WR5","8","14","8.8","1.9","-"
"9",2,"Nico Collins",HOU,"WR6","9","10","9.1","0.3","-"
"10",3,"Derrick Henry",BAL,"RB4","10","13","11.0","1.1","-"
"11",3,"Malik Nabers",NYG,"WR7","9","18","11.6","2.4","-"
"12",3,"Brian Thomas Jr.",JAC,"WR8","9","14","12.0","1.9","-"
"13",3,"De'Von Achane",MIA,"RB5","10","20","13.3","2.7","-"
"14",3,"Josh Jacobs",GB,"RB6","13","23","15.3","3.1","-"
"15",3,"Jonathan Taylor",IND,"RB7","13","20","15.7","2.5","-"
"16",3,"Brock Bowers",LV,"TE1","16","22","17.4","2.5","-"
"17",3,"A.J. Brown",PHI,"WR9","16","18","17.6","0.8","-"
"18",4,"Bucky Irving",TB,"RB8","17","24","18.7","2.9","-"
"19",4,"Trey McBride",ARI,"TE2","16","24","21.2","2.2","-"
"20",4,"Drake London",ATL,"WR10","14","26","21.8","4.2","-"
"21",4,"Tyreek Hill",MIA,"WR11","19","32","22.8","4.6","-"
"22",4,"Kyren Williams",LAR,"RB9","20","37","25.0","5.7","-"
"23",4,"Breece Hall",NYJ,"RB10","15","33","25.3","5.3","-"
"24",4,"Christian McCaffrey",SF,"RB11","17","35","25.3","5.6","-"
"25",4,"Josh Allen",BUF,"QB1","25","27","25.6","0.8","-"
"26",4,"Tee Higgins",CIN,"WR12","21","35","26.0","4.5","-"
"27",4,"Lamar Jackson",BAL,"QB2","25","29","26.7","1.1","-"
"28",4,"Jaxon Smith-Njigba",SEA,"WR13","22","31","27.7","2.2","-"
"29",5,"Jayden Daniels",WAS,"QB3","27","29","28.8","0.6","-"
"30",5,"Ladd McConkey",LAC,"WR14","21","32","29.1","3.5","-"
"31",5,"Chase Brown",CIN,"RB12","13","37","29.7","6.8","-"
"32",5,"Mike Evans",TB,"WR15","26","35","31.3","3.1","-"
"33",5,"Terry McLaurin",WAS,"WR16","23","39","31.7","4.0","-"
"34",5,"James Cook",BUF,"RB13","26","37","32.1","3.4","-"
"35",5,"Garrett Wilson",NYJ,"WR17","32","38","36.6","2.2","-"
"36",5,"Ashton Jeanty",FA,"RB14","13","63","38.1","17.0","-"
"37",5,"Jalen Hurts",PHI,"QB4","36","53","38.3","5.3","-"
"38",5,"Joe Mixon",HOU,"RB15","37","42","38.4","1.8","-"
"39",5,"Davante Adams",NYJ,"WR18","36","43","39.2","1.8","-"
"40",6,"Chuba Hubbard",CAR,"RB16","40","45","41.3","1.6","-"
"41",6,"George Kittle",SF,"TE3","34","56","42.0","8.8","-"
"42",6,"DJ Moore",CHI,"WR19","41","47","42.9","1.7","-"
"43",6,"Kenneth Walker III",SEA,"RB17","35","55","44.0","5.5","-"
"44",6,"Zay Flowers",BAL,"WR20","44","48","44.4","1.3","-"
"45",6,"Rashee Rice",KC,"WR21","38","67","44.9","8.1","-"
"46",6,"Courtland Sutton",DEN,"WR22","39","50","45.7","2.7","-"
"47",6,"Alvin Kamara",NO,"RB18","40","49","46.1","3.6","-"
"48",6,"DK Metcalf",SEA,"WR23","48","50","48.4","0.8","-"
"49",6,"George Pickens",PIT,"WR24","47","57","48.7","3.2","-"
"50",6,"Joe Burrow",CIN,"QB5","36","53","49.3","5.8","-"
"51",6,"Marvin Harrison Jr.",ARI,"WR25","47","54","50.8","2.1","-"
"52",6,"James Conner",ARI,"RB19","47","55","51.2","2.4","-"
"53",6,"Sam LaPorta",DET,"TE4","34","59","51.9","9.6","-"
"54",6,"David Montgomery",DET,"RB20","50","55","52.0","1.3","-"
"55",6,"Jordan Addison",MIN,"WR26","49","56","53.2","2.1","-"
"56",7,"Isiah Pacheco",KC,"RB21","52","69","58.3","5.3","-"
"57",7,"Tyrone Tracy Jr.",NYG,"RB22","57","64","58.4","2.3","-"
"58",7,"Chris Olave",NO,"WR27","39","68","58.8","7.5","-"
"59",7,"Jameson Williams",DET,"WR28","59","61","59.4","0.8","-"
"60",7,"Baker Mayfield",TB,"QB6","58","64","61.3","1.9","-"
"61",7,"Tony Pollard",TEN,"RB23","57","67","61.8","3.4","-"
"62",7,"Patrick Mahomes II",KC,"QB7","57","80","62.0","7.3","-"
"63",7,"DeVonta Smith",PHI,"WR29","46","68","62.2","7.6","-"
"64",7,"Jaylen Waddle",MIA,"WR30","63","68","63.8","1.6","-"
"65",7,"Aaron Jones Sr.",MIN,"RB24","60","71","64.3","2.7","-"
"66",7,"T.J. Hockenson",MIN,"TE5","56","76","66.6","5.5","-"
"67",7,"Jerry Jeudy",CLE,"WR31","53","73","67.7","5.8","-"
"68",7,"J.K. Dobbins",LAC,"RB25","67","76","68.6","2.9","-"
"69",7,"Brian Robinson Jr.",WAS,"RB26","65","86","69.6","7.0","-"
"70",7,"Jared Goff",DET,"QB8","62","78","70.7","4.7","-"
"71",7,"Chris Godwin",TB,"WR32","61","74","72.6","4.1","-"
"72",7,"Najee Harris",PIT,"RB27","71","88","74.0","5.5","-"
"73",7,"Xavier Worthy",KC,"WR33","65","83","74.9","6.2","-"
"74",7,"D'Andre Swift",CHI,"RB28","72","86","75.7","4.8","-"
"75",8,"Brandon Aiyuk",SF,"WR34","75","82","77.6","2.9","-"
"76",8,"Mark Andrews",BAL,"TE6","76","86","79.9","4.4","-"
"77",8,"Jordan Love",GB,"QB9","58","103","80.2","14.8","-"
"78",8,"Jonnu Smith",MIA,"TE7","71","86","81.2","4.8","-"
"79",8,"Calvin Ridley",TEN,"WR35","68","91","81.7","5.6","-"
"80",8,"Rico Dowdle",DAL,"RB29","72","111","81.9","11.5","-"
"81",8,"Deebo Samuel Sr.",SF,"WR36","80","89","82.1","2.8","-"
"82",8,"Kyler Murray",ARI,"QB10","72","90","82.4","6.6","-"
"83",8,"Rhamondre Stevenson",NE,"RB30","79","102","82.6","7.2","-"
"84",8,"Justin Herbert",LAC,"QB11","73","96","83.0","8.0","-"
"85",8,"Rome Odunze",CHI,"WR37","70","89","84.9","5.5","-"
"86",8,"David Njoku",CLE,"TE8","83","86","85.3","1.1","-"
"87",8,"Tank Bigsby",JAC,"RB31","82","100","85.8","6.4","-"
"88",8,"Travis Etienne Jr.",JAC,"RB32","85","93","86.7","2.7","-"
"89",8,"Jaylen Warren",PIT,"RB33","88","98","89.1","3.1","-"
"90",8,"Jayden Reed",GB,"WR38","80","101","89.8","5.0","-"
"91",8,"Brock Purdy",SF,"QB12","78","97","90.9","7.7","-"
"92",8,"Khalil Shakir",BUF,"WR39","91","93","91.3","0.7","-"
"93",8,"Bo Nix",DEN,"QB13","73","100","91.9","10.4","-"
"94",8,"Jakobi Meyers",LV,"WR40","87","95","91.9","2.7","-"
"95",8,"Travis Kelce",KC,"TE9","94","105","96.8","4.2","-"
"96",8,"Evan Engram",JAC,"TE10","94","105","97.1","3.0","-"
"97",9,"Cooper Kupp",LAR,"WR41","95","109","99.4","5.9","-"
"98",9,"Tyjae Spears",TEN,"RB34","92","117","100.0","7.4","-"
"99",9,"Jalen McMillan",TB,"WR42","80","113","100.6","10.2","-"
"100",9,"Rachaad White",TB,"RB35","92","121","100.7","10.1","-"
"101",9,"Zach Charbonnet",SEA,"RB36","92","129","101.3","10.0","-"
"102",9,"Caleb Williams",CHI,"QB14","97","104","102.7","2.4","-"
"103",9,"Tucker Kraft",GB,"TE11","96","105","102.8","3.3","-"
"104",9,"Stefon Diggs",HOU,"WR43","101","115","105.7","5.6","-"
"105",9,"Anthony Richardson",IND,"QB15","103","138","107.6","10.8","-"
"106",9,"Keenan Allen",CHI,"WR44","102","114","108.8","3.4","-"
"107",9,"Drake Maye",NE,"QB16","84","128","109.2","16.3","-"
"108",9,"Josh Downs",IND,"WR45","98","115","109.3","4.8","-"
"109",9,"Dalton Kincaid",BUF,"TE12","105","114","109.4","2.7","-"
"110",9,"Nick Chubb",CLE,"RB37","102","130","110.1","10.3","-"
"111",9,"Dallas Goedert",PHI,"TE13","110","118","111.4","2.4","-"
"112",9,"C.J. Stroud",HOU,"QB17","103","118","111.6","4.2","-"
"113",9,"Michael Pittman Jr.",IND,"WR46","99","122","112.9","6.0","-"
"114",9,"Tua Tagovailoa",MIA,"QB18","107","124","113.3","5.6","-"
