"Rank",TIERS,"Player",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Ja'Marr Chase",CIN,"WR1","10","3 out of 5 stars","0"
"2",1,"Bijan Robinson",ATL,"RB1","5","4 out of 5 stars","+1"
"3",1,"CeeDee Lamb",DAL,"WR2","10","2 out of 5 stars","+2"
"4",1,"Justin Jefferson",MIN,"WR3","6","2 out of 5 stars","-2"
"5",2,"Jahmyr Gibbs",DET,"RB2","8","2 out of 5 stars","+1"
"6",2,"Puka Nacua",LAR,"WR4","8","3 out of 5 stars","+1"
"7",2,"Malik Nabers",NYG,"WR5","14","2 out of 5 stars","+1"
"8",2,"Amon-Ra St. Brown",DET,"WR6","8","3 out of 5 stars","+3"
"9",2,"Saquon Barkley",PHI,"RB3","9","3 out of 5 stars","-5"
"10",2,"Nico Collins",HOU,"WR7","6","4 out of 5 stars","0"
"11",2,"Brian Thomas Jr.",JAC,"WR8","8","4 out of 5 stars","+2"
"12",3,"Drake London",ATL,"WR9","5","3 out of 5 stars","+4"
"13",3,"Ashton Jeanty",LV,"RB4","8","2 out of 5 stars","-1"
"14",3,"De'Von Achane",MIA,"RB5","12","4 out of 5 stars","0"
"15",3,"Brock Bowers",LV,"TE1","8","2 out of 5 stars","+4"
"16",3,"A.J. Brown",PHI,"WR10","9","3 out of 5 stars","+1"
"17",3,"Christian McCaffrey",SF,"RB6","14","3 out of 5 stars","-8"
"18",3,"Ladd McConkey",LAC,"WR11","12","3 out of 5 stars","0"
"19",3,"Trey McBride",ARI,"TE2","8","5 out of 5 stars","+7"
"20",3,"Jaxon Smith-Njigba",SEA,"WR12","8","3 out of 5 stars","+13"
"21",4,"Derrick Henry",BAL,"RB7","7","4 out of 5 stars","-6"
"22",4,"Garrett Wilson",NYJ,"WR13","9","4 out of 5 stars","+3"
"23",4,"Tee Higgins",CIN,"WR14","10","3 out of 5 stars","+1"
"24",4,"Josh Allen",BUF,"QB1","7","4 out of 5 stars","+8"
"25",4,"Lamar Jackson",BAL,"QB2","7","3 out of 5 stars","+6"
"26",4,"Bucky Irving",TB,"RB8","9","3 out of 5 stars","-4"
"27",4,"Rashee Rice",KC,"WR15","10","3 out of 5 stars","-6"
"28",4,"Tyreek Hill",MIA,"WR16","12","3 out of 5 stars","-5"
"29",4,"Chase Brown",CIN,"RB9","10","4 out of 5 stars","-2"
"30",4,"Josh Jacobs",GB,"RB10","5","4 out of 5 stars","-2"
"31",4,"Jayden Daniels",WAS,"QB3","12","2 out of 5 stars","+8"
"32",4,"Davante Adams",LAR,"WR17","8","3 out of 5 stars","-3"
"33",5,"Jonathan Taylor",IND,"RB11","11","2 out of 5 stars","-13"
"34",5,"George Kittle",SF,"TE3","14","3 out of 5 stars","+4"
"35",5,"Mike Evans",TB,"WR18","9","3 out of 5 stars","+2"
"36",5,"Terry McLaurin",WAS,"WR19","12","3 out of 5 stars","-2"
"37",5,"Jalen Hurts",PHI,"QB4","9","3 out of 5 stars","+5"
"38",5,"Kyren Williams",LAR,"RB12","8","3 out of 5 stars","-2"
"39",5,"Breece Hall",NYJ,"RB13","9","5 out of 5 stars","-4"
"40",5,"Alvin Kamara",NO,"RB14","11","4 out of 5 stars","+14"
"41",5,"DJ Moore",CHI,"WR20","5","2 out of 5 stars","-1"
"42",5,"Marvin Harrison Jr.",ARI,"WR21","8","4 out of 5 stars","-12"
"43",5,"Kenneth Walker III",SEA,"RB15","8","3 out of 5 stars","+4"
"44",5,"James Cook",BUF,"RB16","7","4 out of 5 stars","0"
"45",5,"Courtland Sutton",DEN,"WR22","12","3 out of 5 stars","+5"
"46",5,"Joe Burrow",CIN,"QB5","10","2 out of 5 stars","+12"
"47",5,"DK Metcalf",PIT,"WR23","5","4 out of 5 stars","-2"
"48",5,"DeVonta Smith",PHI,"WR24","9","3 out of 5 stars","+1"
"49",5,"Chuba Hubbard",CAR,"RB17","14","3 out of 5 stars","+4"
"50",6,"Zay Flowers",BAL,"WR25","7","3 out of 5 stars","+5"
"51",6,"James Conner",ARI,"RB18","8","3 out of 5 stars","+9"
"52",6,"Chris Olave",NO,"WR26","11","4 out of 5 stars","+11"
"53",6,"Joe Mixon",HOU,"RB19","6","2 out of 5 stars","+6"
"54",6,"Jaylen Waddle",MIA,"WR27","12","3 out of 5 stars","-2"
