Player,Age,Team,Pos,G,GS,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds_sack,Sk%,NY/A,ANY/A,4QC,GWD,FP
Jared Goff,30,DET,QB,14.88888888888889,14.88888888888889,338.55555555555554,516.2222222222222,64.83333333333333,3895.3333333333335,24.666666666666668,4.633333333333333,10.444444444444445,2.111111111111111,191.55555555555554,47.66666666666666,72.0,7.411111111111111,,11.38888888888889,254.43333333333334,93.57777777777777,53.01111111111111,27.555555555555557,201.66666666666666,5.527777777777778,6.580000000000001,6.566666666666666,1.8888888888888888,2.2222222222222223,282.9244444444444
Baker Mayfield,29,TAM,QB,13.11111111111111,12.555555555555555,262.0,414.44444444444446,62.62222222222223,2999.4444444444443,20.11111111111111,4.466666666666667,10.88888888888889,2.5555555555555554,142.33333333333334,43.98888888888889,69.66666666666667,7.1,,11.344444444444443,220.38888888888889,88.07777777777777,54.650000000000006,31.77777777777778,200.33333333333334,7.690000000000001,6.077777777777778,5.842222222222222,1.2222222222222223,1.4444444444444444,218.86666666666667
Geno Smith,34,SEA,QB,8.545454545454545,7.545454545454546,156.45454545454547,241.36363636363637,61.22727272727273,1740.2727272727273,9.545454545454545,3.5454545454545454,6.545454545454546,2.2818181818181817,82.72727272727273,45.24999999999999,53.72727272727273,6.663636363636363,,10.827272727272728,160.22727272727272,83.6909090909091,40.199999999999996,20.181818181818183,144.8181818181818,10.719090909090907,5.126363636363636,4.846363636363637,1.1818181818181819,1.7272727272727273,113.79272727272726
Sam Darnold,27,MIN,QB,11.857142857142858,10.428571428571429,206.14285714285714,336.57142857142856,60.685714285714276,2340.4285714285716,14.0,4.114285714285714,9.714285714285714,2.742857142857143,112.57142857142857,43.442857142857136,71.0,6.957142857142856,,11.457142857142856,188.84285714285713,83.81428571428572,46.32857142857142,28.142857142857142,186.71428571428572,8.104285714285714,5.8428571428571425,5.46,0.8571428571428571,1.4285714285714286,158.18857142857146
Lamar Jackson,27,BAL,QB,14.714285714285714,13.428571428571429,239.71428571428572,369.42857142857144,64.18571428571428,2865.5714285714284,23.714285714285715,6.1,7.0,1.9285714285714286,137.71428571428572,47.31428571428571,70.28571428571429,7.628571428571429,,11.885714285714286,195.6714285714286,99.64285714285715,64.68571428571428,27.428571428571427,144.0,7.105714285714286,6.738571428571428,7.071428571428572,1.4285714285714286,1.7142857142857142,242.9085714285714
Patrick Mahomes,29,KAN,QB,14.0,14.0,347.25,521.375,66.15,4044.0,30.625,5.175,9.25,1.8875,202.25,52.150000000000006,70.125,7.824999999999999,,11.825,288.35,99.1875,72.5375,23.0,152.375,4.35,7.1825,7.366250000000001,2.375,2.875,327.01
Aaron Rodgers,41,NYJ,QB,12.4,12.05,268.45,412.25,60.6,3147.6,25.15,5.135,5.8,1.4949999999999999,150.4,45.71052631578947,67.26315789473684,6.894999999999999,,11.26315789473684,216.66499999999996,94.075,59.88947368421052,28.55,195.4,9.778,5.642,5.9865,1.15,1.7,265.20399999999995
Justin Herbert,26,LAC,QB,15.8,15.8,389.0,585.2,66.33999999999999,4218.6,27.4,4.7,9.0,1.48,205.0,47.16,65.0,7.24,,10.88,266.29999999999995,96.82,64.52,34.2,223.0,5.6339999999999995,6.436,6.684,2.4,3.2,315.144
Brock Purdy,25,SFO,QB,13.333333333333334,12.0,240.66666666666666,356.3333333333333,67.46666666666667,3172.6666666666665,21.333333333333332,6.333333333333333,9.0,2.5,145.33333333333334,51.46666666666667,68.66666666666667,8.733333333333333,,12.966666666666667,225.9333333333333,105.46666666666665,69.4,23.333333333333332,131.0,6.13,7.833333333333333,7.973333333333333,0.6666666666666666,0.6666666666666666,236.90666666666667
Kyler Murray,27,ARI,QB,13.666666666666666,13.666666666666666,310.6666666666667,463.3333333333333,66.95,3249.6666666666665,19.166666666666668,4.1,9.5,2.0333333333333337,158.0,47.11666666666667,65.16666666666667,6.966666666666668,,10.4,236.33333333333334,92.06666666666666,58.35,29.833333333333332,217.0,6.061666666666667,6.096666666666668,6.013333333333333,1.8333333333333333,2.1666666666666665,225.98666666666665
Bo Nix,24,DEN,QB,17.0,17.0,376.0,567.0,66.3,3775.0,29.0,5.1,12.0,2.1,170.0,43.7,93.0,6.7,,10.0,222.1,93.3,56.8,24.0,198.0,4.06,6.05,6.12,3.0,3.0,301.0
