Player,Age,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Y/R,R/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,FP
Saquon Barkley,27,12.857142857142858,12.857142857142858,220.85714285714286,339.7142857142857,2.0,14.0,39.871428571428574,49.142857142857146,4.171428571428572,26.785714285714285,16.085714285714285,62.714285714285715,45.857142857142854,7.685714285714285,3.5,72.14285714285714,5.557142857142857,266.7142857142857,4.885714285714286,1370.5714285714287,8.857142857142858,1.1428571428571428,183.4107142857143
Derrick Henry,30,15.11111111111111,11.666666666666666,261.6666666666667,183.44444444444446,0.5555555555555556,6.333333333333333,52.02222222222222,44.666666666666664,4.766666666666667,12.533333333333333,17.81111111111111,24.88888888888889,19.333333333333332,9.488888888888887,1.3333333333333333,78.4111111111111,7.444444444444445,281.0,5.1,1452.6666666666667,12.333333333333334,2.2222222222222223,154.15555555555557
Jahmyr Gibbs,22,16.0,3.5,216.0,416.5,2.5,22.5,51.05,39.0,5.4,25.75,13.399999999999999,67.0,52.0,8.0,3.3,77.85,6.35,268.0,5.9,1595.0,15.5,1.5,579.0
Bijan Robinson,22,17.0,16.5,259.0,459.0,2.5,22.0,43.5,50.0,4.699999999999999,27.0,15.25,79.0,59.5,7.75,3.5,76.05000000000001,5.85,318.5,5.300000000000001,1675.0,11.5,2.5,599.5
Josh Jacobs,26,15.0,14.833333333333334,267.6666666666667,298.3333333333333,0.16666666666666666,12.833333333333334,51.54999999999999,33.166666666666664,4.25,19.71666666666667,17.816666666666666,49.5,38.833333333333336,7.816666666666666,2.55,77.8,6.099999999999999,306.5,4.683333333333334,1444.0,10.333333333333334,2.5,219.97619047619045
Jonathan Taylor,25,13.4,12.2,245.6,218.2,1.0,8.0,40.54,39.8,4.819999999999999,15.819999999999999,18.2,36.8,28.2,7.62,2.1,76.28,5.9,273.8,5.12,1420.8,11.2,2.6,251.83333333333334
Aaron Jones,30,14.25,12.75,179.0,310.5,2.5,15.125,43.95,32.75,5.0249999999999995,21.0625,12.3625,53.25,40.375,7.2,2.7750000000000004,73.12499999999999,5.4,219.375,5.4625,1195.25,8.75,2.5,142.56944444444446
Bucky Irving,22,17.0,3.0,207.0,392.0,0.0,16.0,65.4,42.0,5.4,23.1,12.2,52.0,47.0,8.3,2.8,90.4,7.5,254.0,6.0,1514.0,8.0,2.0,802.5
James Conner,29,13.375,10.125,170.125,277.125,1.375,12.875,45.21249999999999,31.142857142857142,4.3625,20.8125,12.725,42.25,35.125,7.714285714285714,2.6624999999999996,73.7375,5.7375,205.25,4.887499999999999,1023.375,8.75,2.0,123.0
De'Von Achane,23,14.0,10.0,153.0,394.5,4.5,20.0,53.05,31.0,6.15,26.349999999999998,10.65,62.0,52.5,7.449999999999999,3.55,81.35,6.05,205.5,6.5,1248.0,11.5,1.0,455.8333333333333
